aback	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abacus	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abandon	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abandoned	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abandonment	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abate	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abatement	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abba	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abbot	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abbreviate	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abbreviation	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abdomen	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abdominal	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abduction	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
aberrant	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
aberration	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abeyance	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abhor	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abhorrent	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abide	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
ability	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abject	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
ablation	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
ablaze	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abnormal	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
aboard	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abode	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abolish	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abolition	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abominable	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abomination	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
aboriginal	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abort	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abortion	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abortive	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abound	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abovementioned	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abrasion	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abroad	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abrogate	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
abrupt	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abruptly	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
abscess	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
absence	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
absent	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
absentee	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
absenteeism	1	0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
absinthe	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
absolute	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
absolution	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
absorbed	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
absorbent	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
